# kt ab 0.4_0.5 0.5_0.6 0.6_0.7 0.7_0.8 0.8_0.9 0.9_1.0 1.0_1.1 1.1_1.2 1.2_1.3 1.3_1.5 1.5_1.8 1.8_2.2 2.2_2.8 2.8_3.5 3.5_4.5 4.5_6.2 6.2_7.0 7.0_10.0
0.268789  0.394737  12.6527 14.3363 16.5538 17.2826 10.8706 4.6611 2.9008 1.4217 0.6697 1.3996 0.5056 0.1725 0.0213 0.0018 0.0001 0.0000 0.0000 0.0000 
0.268789  0.473684  14.3623 16.6522 19.4838 20.4186 12.8364 5.4745 3.3719 1.6226 0.7669 1.6300 0.5798 0.2010 0.0246 0.0020 0.0001 0.0000 0.0000 0.0000 
0.268789  0.552632  16.0718 18.9681 22.4138 23.5545 14.8021 6.2880 3.8431 1.8234 0.8640 1.8605 0.6539 0.2294 0.0278 0.0023 0.0001 0.0000 0.0000 0.0000 
0.268789  0.631579  17.7814 21.2840 25.3437 26.6905 16.7678 7.1014 4.3143 2.0242 0.9611 2.0909 0.7280 0.2579 0.0311 0.0026 0.0002 0.0000 0.0000 0.0000 
0.268789  0.710526  19.4909 23.5999 28.2736 29.8264 18.7336 7.9148 4.7854 2.2251 1.0583 2.3214 0.8022 0.2863 0.0344 0.0028 0.0002 0.0000 0.0000 0.0000 
0.268789  0.789474  21.2005 25.9158 31.2036 32.9624 20.6993 8.7282 5.2566 2.4259 1.1554 2.5519 0.8763 0.3148 0.0377 0.0031 0.0002 0.0000 0.0000 0.0000 
0.268789  0.868421  22.9100 28.2317 34.1335 36.0983 22.6650 9.5417 5.7277 2.6268 1.2525 2.7823 0.9504 0.3432 0.0409 0.0033 0.0002 0.0000 0.0000 0.0000 
0.268789  0.947368  24.6195 30.5476 37.0635 39.2342 24.6308 10.3551 6.1989 2.8276 1.3496 3.0128 1.0246 0.3717 0.0442 0.0036 0.0002 0.0000 0.0000 0.0000 
0.268789  1.02632  26.3292 32.8636 39.9936 42.3703 26.5966 11.1686 6.6701 3.0284 1.4468 3.2433 1.0987 0.4001 0.0475 0.0039 0.0002 0.0000 0.0000 0.0000 
0.268789  1.10526  28.0386 35.1793 42.9233 45.5060 28.5622 11.9819 7.1412 3.2292 1.5439 3.4737 1.1728 0.4286 0.0508 0.0041 0.0002 0.0000 0.0000 0.0000 
0.268789  1.18421  29.7482 37.4952 45.8533 48.6420 30.5280 12.7954 7.6124 3.4301 1.6410 3.7042 1.2470 0.4570 0.0540 0.0044 0.0003 0.0000 0.0000 0.0000 
0.268789  1.26316  31.4578 39.8112 48.7834 51.7781 32.4937 13.6088 8.0836 3.6309 1.7381 3.9346 1.3211 0.4855 0.0573 0.0047 0.0003 0.0000 0.0000 0.0000 
0.268789  1.34211  33.1674 42.1272 51.7134 54.9141 34.4595 14.4223 8.5547 3.8318 1.8353 4.1651 1.3952 0.5140 0.0606 0.0049 0.0003 0.0000 0.0000 0.0000 
0.268789  1.42105  34.8768 44.4429 54.6431 58.0498 36.4251 15.2357 9.0259 4.0326 1.9324 4.3955 1.4694 0.5424 0.0639 0.0052 0.0003 0.0000 0.0000 0.0000 
0.268789  1.5  36.5864 46.7588 57.5731 61.1858 38.3909 16.0491 9.4970 4.2334 2.0295 4.6260 1.5435 0.5709 0.0671 0.0055 0.0003 0.0000 0.0000 0.0000 
0.296624  0  4.5928 3.2129 2.3088 2.0139 1.3398 0.7885 0.7419 0.5832 0.2734 0.3803 0.2255 0.0567 0.0107 0.0012 0.0001 0.0000 0.0000 0.0000 
0.296624  0.0789474  6.1624 5.2601 5.2585 5.9197 3.7972 1.7733 1.4041 0.8517 0.4043 0.7005 0.3315 0.1025 0.0170 0.0018 0.0001 0.0000 0.0000 0.0000 
0.296624  0.157895  7.7320 7.3074 8.2081 9.8256 6.2546 2.7580 2.0663 1.1202 0.5351 1.0207 0.4375 0.1483 0.0232 0.0024 0.0002 0.0000 0.0000 0.0000 
0.296624  0.236842  9.3015 9.3547 11.1577 13.7315 8.7121 3.7428 2.7285 1.3888 0.6659 1.3409 0.5435 0.1940 0.0294 0.0030 0.0002 0.0000 0.0000 0.0000 
0.296624  0.315789  10.8710 11.4019 14.1074 17.6374 11.1695 4.7276 3.3907 1.6573 0.7968 1.6611 0.6495 0.2398 0.0356 0.0036 0.0003 0.0000 0.0000 0.0000 
0.296624  0.394737  12.4406 13.4492 17.0570 21.5433 13.6269 5.7124 4.0529 1.9258 0.9276 1.9813 0.7554 0.2855 0.0419 0.0042 0.0003 0.0000 0.0000 0.0000 
0.296624  0.473684  14.0102 15.4964 20.0067 25.4492 16.0843 6.6972 4.7150 2.1943 1.0585 2.3015 0.8614 0.3313 0.0481 0.0049 0.0004 0.0000 0.0000 0.0000 
0.296624  0.552632  15.5797 17.5437 22.9563 29.3551 18.5418 7.6820 5.3773 2.4629 1.1893 2.6217 0.9674 0.3771 0.0543 0.0055 0.0004 0.0000 0.0000 0.0000 
0.296624  0.631579  17.1493 19.5910 25.9060 33.2609 20.9992 8.6668 6.0394 2.7314 1.3201 2.9419 1.0734 0.4228 0.0606 0.0061 0.0005 0.0000 0.0000 0.0000 
0.296624  0.710526  18.7188 21.6382 28.8556 37.1668 23.4566 9.6516 6.7016 2.9999 1.4510 3.2621 1.1794 0.4686 0.0668 0.0067 0.0005 0.0000 0.0000 0.0000 
0.296624  0.789474  20.2884 23.6855 31.8053 41.0727 25.9140 10.6364 7.3638 3.2685 1.5818 3.5823 1.2854 0.5143 0.0730 0.0073 0.0006 0.0000 0.0000 0.0000 
0.296624  0.868421  21.8579 25.7328 34.7549 44.9786 28.3715 11.6212 8.0260 3.5370 1.7127 3.9025 1.3914 0.5601 0.0793 0.0079 0.0006 0.0000 0.0000 0.0000 
0.296624  0.947368  23.4275 27.7800 37.7045 48.8844 30.8289 12.6059 8.6882 3.8055 1.8435 4.2227 1.4974 0.6059 0.0855 0.0085 0.0006 0.0000 0.0000 0.0000 
0.296624  1.02632  24.9971 29.8274 40.6543 52.7906 33.2864 13.5908 9.3505 4.0741 1.9743 4.5429 1.6034 0.6516 0.0917 0.0091 0.0007 0.0000 0.0000 0.0000 
0.296624  1.10526  26.5665 31.8745 43.6037 56.6961 35.7436 14.5755 10.0126 4.3426 2.1052 4.8631 1.7094 0.6974 0.0980 0.0097 0.0007 0.0000 0.0000 0.0000 
0.296624  1.18421  28.1361 33.9218 46.5534 60.6021 38.2011 15.5603 10.6748 4.6111 2.2360 5.1833 1.8153 0.7432 0.1042 0.0103 0.0008 0.0000 0.0000 0.0000 
0.296624  1.26316  29.7057 35.9692 49.5032 64.5081 40.6586 16.5451 11.3370 4.8797 2.3668 5.5035 1.9213 0.7889 0.1104 0.0109 0.0008 0.0000 0.0000 0.0000 
0.296624  1.34211  31.2753 38.0165 52.4529 68.4141 43.1161 17.5300 11.9992 5.1482 2.4977 5.8237 2.0273 0.8347 0.1166 0.0115 0.0009 0.0000 0.0000 0.0000 
0.296624  1.42105  32.8447 40.0636 55.4023 72.3196 45.5733 18.5147 12.6614 5.4167 2.6285 6.1439 2.1333 0.8804 0.1229 0.0121 0.0009 0.0000 0.0000 0.0000 
0.296624  1.5  34.4144 42.1109 58.3520 76.2257 48.0308 19.4995 13.3236 5.6852 2.7594 6.4641 2.2393 0.9262 0.1291 0.0127 0.0010 0.0000 0.0000 0.0000 
0.327341  0  5.0482 3.6682 2.7372 2.4790 1.6803 1.0177 0.9759 0.7835 0.3913 0.5600 0.3577 0.0997 0.0216 0.0030 0.0003 0.0000 0.0000 0.0000 
0.327341  0.0789474  6.4639 5.5102 5.6628 7.1814 4.6623 2.1627 1.8648 1.1307 0.5624 0.9884 0.5032 0.1694 0.0325 0.0042 0.0004 0.0000 0.0000 0.0000 
0.327341  0.157895  7.8796 7.3522 8.5883 11.8838 7.6444 3.3076 2.7537 1.4779 0.7335 1.4169 0.6488 0.2391 0.0433 0.0055 0.0005 0.0000 0.0000 0.0000 
0.327341  0.236842  9.2952 9.1942 11.5138 16.5862 10.6264 4.4525 3.6426 1.8252 0.9046 1.8454 0.7943 0.3088 0.0542 0.0067 0.0006 0.0000 0.0000 0.0000 
0.327341  0.315789  10.7109 11.0362 14.4394 21.2886 13.6084 5.5975 4.5315 2.1724 1.0757 2.2738 0.9398 0.3785 0.0651 0.0080 0.0008 0.0000 0.0000 0.0000 
0.327341  0.394737  12.1266 12.8782 17.3649 25.9911 16.5905 6.7424 5.4205 2.5197 1.2468 2.7023 1.0853 0.4482 0.0760 0.0093 0.0009 0.0000 0.0000 0.0000 
0.327341  0.473684  13.5422 14.7202 20.2905 30.6935 19.5725 7.8873 6.3094 2.8669 1.4179 3.1308 1.2308 0.5180 0.0869 0.0105 0.0010 0.0000 0.0000 0.0000 
